Date1,State,beds_icu_covid,icu_covid,icu_usage,vent_covid,vent,vent_usage,Date,Total Cases
30-Aug,W.P. Labuan,18,0,0,0,11,0,30-Aug,2
30-Aug,W.P. Putrajaya,20,18,90,14,36,38.89,30-Aug,41
31-Aug,Johor,108,103,95.37,84,174,48.28,31-Aug,2159
31-Aug,Kedah,104,117,112.5,51,103,49.51,31-Aug,1942
31-Aug,Kelantan,77,73,94.81,35,122,28.69,31-Aug,1479
31-Aug,Melaka,92,75,81.52,25,78,32.05,31-Aug,417
31-Aug,Negeri Sembilan,88,33,37.5,25,68,36.76,31-Aug,215
31-Aug,Pahang,61,40,65.57,25,54,46.3,31-Aug,798
31-Aug,Perak,90,108,120,68,104,65.38,31-Aug,1204
31-Aug,Perlis,11,10,90.91,5,19,26.32,31-Aug,64
31-Aug,Pulau Pinang,69,66,95.65,53,72,73.61,31-Aug,1732
31-Aug,Sabah,147,172,117.01,67,96,69.79,31-Aug,2594
31-Aug,Sarawak,120,58,48.33,23,137,16.79,31-Aug,2285
31-Aug,Selangor,350,351,100.29,168,443,37.92,31-Aug,4372
31-Aug,Terengganu,39,29,74.36,22,58,37.93,31-Aug,608
31-Aug,W.P. Kuala Lumpur,228,173,75.88,116,218,53.21,31-Aug,1003
31-Aug,W.P. Labuan,18,0,0,0,11,0,31-Aug,1
31-Aug,W.P. Putrajaya,20,15,75,12,28,42.86,31-Aug,25
,,,,,,,,,7107
,,,,,,,,,7705
,,,,,,,,,8273
,,,,,,,,,7750
,,,,,,,,,7460
,,,,,,,,,6255
,,,,,,,,,5285
,,,,,,,,,5570
,,,,,,,,,6250
,,,,,,,,,5679
,,,,,,,,,6853
,,,,,,,,,5799
,,,,,,,,,5309
,,,,,,,,,4955
,,,,,,,,,5425
,,,,,,,,,5153
,,,,,,,,,5741
,,,,,,,,,6445
,,,,,,,,,5912
,,,,,,,,,5300
,,,,,,,,,4619
,,,,,,,,,4745
,,,,,,,,,5251
,,,,,,,,,5849
,,,,,,,,,5844
,,,,,,,,,5813
,,,,,,,,,5589
,,,,,,,,,5225
,,,,,,,,,6451
,,,,,,,,,6292
,,,,,,,,,6993
,,,,,,,,,6985
,,,,,,,,,6669
,,,,,,,,,6065
,,,,,,,,,6413
,,,,,,,,,7665
,,,,,,,,,7123
,,,,,,,,,8878
,,,,,,,,,9187
,,,,,,,,,9364
,,,,,,,,,9123
,,,,,,,,,8614
,,,,,,,,,11106
,,,,,,,,,11644
,,,,,,,,,13228
,,,,,,,,,12557
,,,,,,,,,12547
,,,,,,,,,10722
,,,,,,,,,11020
,,,,,,,,,12374
,,,,,,,,,11992
,,,,,,,,,13059
,,,,,,,,,15605
,,,,,,,,,15928
,,,,,,,,,17051
,,,,,,,,,14519
,,,,,,,,,16143
,,,,,,,,,17411
,,,,,,,,,17202
,,,,,,,,,16857
,,,,,,,,,17795
,,,,,,,,,17151
,,,,,,,,,15770
,,,,,,,,,17142
,,,,,,,,,19842
,,,,,,,,,20630
,,,,,,,,,20902
,,,,,,,,,19273
,,,,,,,,,18698
,,,,,,,,,17265
,,,,,,,,,19991
,,,,,,,,,20795
,,,,,,,,,21726
,,,,,,,,,21493
,,,,,,,,,20678
,,,,,,,,,20560
,,,,,,,,,19759
,,,,,,,,,19638
,,,,,,,,,22246
,,,,,,,,,22957
,,,,,,,,,23587
,,,,,,,,,22302
,,,,,,,,,19812
,,,,,,,,,17680
,,,,,,,,,20859
,,,,,,,,,22647
,,,,,,,,,24607
,,,,,,,,,22085
,,,,,,,,,22609
,,,,,,,,,20586
,,,,,,,,,19284
,,,,,,,,,20898
