Week,State,Average Cases1,Average Cases,Tests Conducted,Test_Kit
19 Aug – 25 Aug,Kuala Lumpur,1764.285714,1764,10935,Both
22 Jul – 28 Jul,Kuala Lumpur,605.7142857,606,8290,RTK-AG
22 Jul – 28 Jul,Kuala Lumpur,605.7142857,606,9482,PCR
22 Jul – 28 Jul,Kuala Lumpur,605.7142857,606,17772,Both
26 Aug – 31 Aug,Kuala Lumpur,2174.428571,2174,3460,RTK-AG
26 Aug – 31 Aug,Kuala Lumpur,2174.428571,2174,4229,PCR
26 Aug – 31 Aug,Kuala Lumpur,2174.428571,2174,7689,Both
29 Jul – 4 Aug,Kuala Lumpur,816.7142857,817,7163,RTK-AG
29 Jul – 4 Aug,Kuala Lumpur,816.7142857,817,7535,PCR
29 Jul – 4 Aug,Kuala Lumpur,816.7142857,817,14698,Both
5 Aug – 11 Aug,Kuala Lumpur,1182.857143,1183,6775,RTK-AG
5 Aug – 11 Aug,Kuala Lumpur,1182.857143,1183,6853,PCR
5 Aug – 11 Aug,Kuala Lumpur,1182.857143,1183,13628,Both
8 Jul – 14 Jul,Kuala Lumpur,623.1428571,623,4768,RTK-AG
8 Jul – 14 Jul,Kuala Lumpur,623.1428571,623,8026,PCR
8 Jul – 14 Jul,Kuala Lumpur,623.1428571,623,12794,Both
1 Jul – 7 Jul,Labuan,2201.571429,2202,1123,RTK-AG
1 Jul – 7 Jul,Labuan,2201.571429,2202,241,PCR
1 Jul – 7 Jul,Labuan,2201.571429,2202,1364,Both
12 Aug – 18 Aug,Labuan,134.5714286,135,304,RTK-AG
12 Aug – 18 Aug,Labuan,134.5714286,135,196,PCR
12 Aug – 18 Aug,Labuan,134.5714286,135,500,Both
15 Jul – 21 Jul,Labuan,1369.428571,1369,589,RTK-AG
15 Jul – 21 Jul,Labuan,1369.428571,1369,190,PCR
15 Jul – 21 Jul,Labuan,1369.428571,1369,779,Both
19 Aug – 25 Aug,Labuan,118.2857143,118,342,RTK-AG
19 Aug – 25 Aug,Labuan,118.2857143,118,148,PCR
19 Aug – 25 Aug,Labuan,118.2857143,118,490,Both
22 Jul – 28 Jul,Labuan,981.1428571,981,666,RTK-AG
22 Jul – 28 Jul,Labuan,981.1428571,981,160,PCR
22 Jul – 28 Jul,Labuan,981.1428571,981,826,Both
26 Aug – 31 Aug,Labuan,114.2857143,114,239,RTK-AG
