Week,State,Average Cases1,Average Cases,Tests Conducted,Test_Kit
8 Jul – 14 Jul,Selangor,5175.857143,5176,43510,Both
1 Jul – 7 Jul,Terengganu,650,650,900,RTK-AG
1 Jul – 7 Jul,Terengganu,650,650,947,PCR
1 Jul – 7 Jul,Terengganu,650,650,1847,Both
12 Aug – 18 Aug,Terengganu,339.4285714,339,1918,RTK-AG
12 Aug – 18 Aug,Terengganu,339.4285714,339,3381,PCR
12 Aug – 18 Aug,Terengganu,339.4285714,339,5299,Both
15 Jul – 21 Jul,Terengganu,584.1428571,584,1041,RTK-AG
15 Jul – 21 Jul,Terengganu,584.1428571,584,2131,PCR
15 Jul – 21 Jul,Terengganu,584.1428571,584,3172,Both
19 Aug – 25 Aug,Terengganu,399.7142857,400,2008,RTK-AG
19 Aug – 25 Aug,Terengganu,399.7142857,400,3245,PCR
19 Aug – 25 Aug,Terengganu,399.7142857,400,5253,Both
22 Jul – 28 Jul,Terengganu,498.7142857,499,1490,RTK-AG
22 Jul – 28 Jul,Terengganu,498.7142857,499,2956,PCR
22 Jul – 28 Jul,Terengganu,498.7142857,499,4446,Both
26 Aug – 31 Aug,Terengganu,495,495,1878,RTK-AG
26 Aug – 31 Aug,Terengganu,495,495,2771,PCR
26 Aug – 31 Aug,Terengganu,495,495,4649,Both
29 Jul – 4 Aug,Terengganu,400,400,1822,RTK-AG
29 Jul – 4 Aug,Terengganu,400,400,3764,PCR
29 Jul – 4 Aug,Terengganu,400,400,5586,Both
5 Aug – 11 Aug,Terengganu,330.2857143,330,1855,RTK-AG
5 Aug – 11 Aug,Terengganu,330.2857143,330,4172,PCR
5 Aug – 11 Aug,Terengganu,330.2857143,330,6027,Both
8 Jul – 14 Jul,Terengganu,618.1428571,618,1048,RTK-AG
8 Jul – 14 Jul,Terengganu,618.1428571,618,1382,PCR
8 Jul – 14 Jul,Terengganu,618.1428571,618,2430,Both
